"ID","Place","DecLatitude","DecLongitude","Source","ModernName","Alternative.Name","Near","Ocean","Spanish","Dutch","French","Notes"
"554","Engano","-5.4","102.25","","Pulau Enggano","","Sumatra","Indian Ocean","","",NA,""
"555","Enggano Island, off Sumatra","-5.4","102.25","","Pulau Enggano","","Sumatra","Indian Ocean","","",NA,""
"556","English Harbour","17","61.7667","Times Atlas of the World","English Harbour, Antigua and Barbados, America","","","","","",NA,""
"557","English harbour, Antigua","17","-61.7666666666667","Times Atlas of the World","English Harbour, Antigua and Barbados, America","","","","","",NA,""
"558","Enigorla Rocks","15.88","73.68","Times Atlas of the World","Vengurla, Maharashtra, India","","Bombay","Indian Ocean","","",NA,""
"559","Ensenada de la Escombrera","37.5667","-0.9333","Times Atlas of the World","Escombreras, Spain","","","","","",NA,""
"560","ES_0_01",NA,"-20","","","","","","","",NA,""
"561","ES_0_02",NA,"-107","","","","","","","",NA,""
"562","ES_0_03",NA,"-15","","","","","","","",NA,""
"563","ES_0_04",NA,"-14","","","","","","","",NA,""
"564","ES_0_05",NA,"-12","","","","","","","",NA,""
"565","ES_0_06",NA,"-11","","","","","","","",NA,""
"566","ES_0_07",NA,"-10","","","","","","","",NA,""
"567","ES_0_08",NA,"-9","","","","","","","",NA,""
"568","ES_0_09",NA,"4","","","","","","","",NA,""
"569","ES_0_10",NA,"5","","","","","","","",NA,""
"570","ES_0_11",NA,"7","","","","","","","",NA,""
"571","ES_0_12",NA,"8","","","","","","","",NA,""
"572","ES_0_13",NA,"-15.5","","","","","","","",NA,""
"573","Estacio","17.05","-63","","","","","","","",NA,""
"574","Eustachius","17.05","-63","","","","","","","",NA,""
"575","Eustatius","17.05","-63","","","","","","","",NA,""
"576","Faeroer isl. (Torshavn)","62.02","-6.78","","","","","","","",NA,""
"577","Faial","38.57","-28.7","","Fayal, Azores","","","","","",NA,""
"578","Fairley","50.3333","-4.65","Lloyds Maritime Atlas","Fowey","","","N. Atlantic","","",NA,""
"579","Falmouth","50.133","-5.067","vocab.pub.getty.edu","Falmouth, United Kingdom","","","","","",NA,""
"580","Fancheaul","32.633","-16.883","vocab.pub.getty.edu","Funchal, Madeira, Portugal","","","","","",NA,""
"581","Faro","62.02","-6.78","","Faroe","","Faroe Islands","North Atlantic","","",NA,""
"582","Fayal","38.5","-28.6","West Coast of Spain and Portugal Pilot #67","Fayal, Azores","","","","","",NA,""
"583","Fayal Road","38.5","-28.6","West Coast of Spain and Portugal Pilot #67","Fayal, Azores","","","","","",NA,""
"584","Fayall","38.5","-28.6","West Coast of Spain and Portugal Pilot #67","Fayal, Azores","","","","","",NA,""
"585","Ferdinando","-3.85","-32.42","","","","","","","",NA,""
"586","Ferdinando Loronha","-3.85","-32.42","","","","","","","",NA,""
"587","Ferdinando Loronho","-3.85","-32.42","","Fernando de Noronha","Ferdinanda","off Brazil","South Atlantic","","",NA,""
"588","Fermosa","46.96","-52.9","Newfoundland and Labrador Pilot #50","Fermeuse Island","","","","","",NA,""
"589","Fernando de Noronha","-3.85","-32.42","","","","","","","",NA,""
"590","Fernando Noronha","-3.85","-32.42","","","","","","","",NA,""
"591","Ferro","27.8","-17.92","","","","","","","",NA,""
"592","Ferro (Hierro), Canaries (Valveride)","27.8","-17.92","","","","","","","",NA,""
"593","Ferrol","43.4833","-8.2333","Times Atlas of the World","El Ferrol, Spain","","","","","",NA,""
"594","Fials en Simonsbaay","-34.35","18.5","Pilot #2, p191","Cape of Good Hope, South Africa","","","","","",NA,""
"595","Fidor","0.667","127.433","vocab.pub.getty.edu","Tidore, Indonesia, Asia","","","","","",NA,""
"596","Finisterre","42.88","-9.27","","","","","","","",NA,""
"597","Finisterre, England","48.33","-4","","","","","","","",NA,""
"598","Flat Point","-5.92","104.55","Malacca Strait and W.Coast of Sumatra Pilot, #44","Tjukuh Balimbing. Vlakke Hoek","","","","","",NA,""
"599","Flatt Point","-1.62","116.6","Indonesia Pilot #34","Teluk Balikpapan?","","","","","",NA,""
"600","Florado","25.75","-80.25","","Cape Florida??","","","","","",NA,""
"601","Flores","39.45","-31.12","","Flores, Western Azores (Santa Cruz)","","","","","",NA,""
"602","Fogo","14.92","-24.42","Times Atlas of the World","Fogo, Cabo Verde, Africa","","Cape Verde Islands","North Atlantic","","",NA,""
"603","Folkstond","51.083","1.183","vocab.pub.getty.edu","Folkestone, United Kingdo","","","","","",NA,""
"604","Fonchieal Road","32.633","-16.883","vocab.pub.getty.edu","Funchal, Madeira, Portugal","","","","","",NA,""
"605","Fonciaal","32.633","-16.883","vocab.pub.getty.edu","Funchal, Madeira, Portugal","","","","","",NA,""
"606","Fonsiael","32.633","-16.883","vocab.pub.getty.edu","Funchal, Madeira, Portugal","","","","","",NA,""
"607","Fonsial","32.633","-16.883","vocab.pub.getty.edu","Funchal, Madeira, Portugal","","","","","",NA,""
"608","Fonsijaal","32.633","-16.883","vocab.pub.getty.edu","Funchal, Madeira, Portugal","","","","","",NA,""
"609","Fontiaal","32.633","-16.883","vocab.pub.getty.edu","Funchal, Madeira, Portugal","","","","","",NA,""
"610","Fontiael","32.633","-16.883","vocab.pub.getty.edu","Funchal, Madeira, Portugal","","","","","",NA,""
"611","Formosa","23.5","121","","Taiwan","","","","","",NA,""
"612","Fort Albany, Hudson Bay","52.25","-81.58","","","","","","","",NA,""
"613","Fort Amsterdam","5.8","-55.15","Algemeen woordenboek der Aardrijkskunde, Vorsterman van Oyen","Mouth of Surinam river, Surinam, South America","","","","","",NA,""
"614","Fort Axim","4.86666666666667","-2.25","Algemeen woordenboek der Aardrijkskunde, Vorsterman van Oyen","","","","","","",NA,""
"615","Fort Bottrou","4.8","-1.93333333333333","Africa Pilot Volume 1, #1","Near Abokwa island, Ghana, Africa","","","","","",NA,""
"616","Fort Dauphin","-25.03","47","","Tolanaro, E Madagascar","","","","","",NA,""
"617","Fort Dauphin Bay, Madagascar","-25.03","47","","Tolanaro, E Madagascar","","","","","",NA,""
"618","Fort Duurstede, Saparoea","-3.58","128.62","Times Atlas of the World","Fort Duustede (restored on Saparua in Indonesia.)","","","","","",NA,""
"619","Fort Hollandia","4.71666666666667","-2.1","Times Atlas of the World","Cape Three Points, Ghana, Africa","","","","","",NA,""
"620","Fort N Amsterdam","5.8","-55.15","Algemeen woordenboek der Aardrijkskunde, Vorsterman van Oyen","Nieuw Amsterdam, Surinam","","","","","",NA,""
"621","Fort Nassau","5.83","-57.67","David Rumsey op internet","Guyana","","","","","",NA,""
"622","Fort Orange te Soerabaya","-7.2333","112.75","Encarta","","","","","","",NA,"Estimate"
"623","Fort Oranje","0","127.3","","","","","","","",NA,""
"624","Fort Oranje, Ghana","4.983","-1.717","vocab.pub.getty.edu","Sekondi-Takoradi, Ghana, Africa","","","","","",NA,""
"625","Fort Royaal, Martinique","14.6","-61.08","Times Atlas of the World","Fort de France, Martinique, W.I.","","","","","",NA,""
"626","Fort Royal","14.6","-61.08","Times Atlas of the World","Fort de France, Martinique, W.I.","","","North Atlantic","","",NA,""
"627","Fort St Anthony te Axim","4.86666666666667","-2.25","Algemeen woordenboek der Aardrijkskunde, Vorsterman van Oyen","","","","","","",NA,""
"628","Fort St Antonio","-13.0167","-38.5333","","","","","","","",NA,""
"629","Fort St David","11.77","79.77","","Fort St David, Tamil Nadu, India","","","","","",NA,""
"630","Fort St David Road","11.77","79.77","","Fort St David, Tamil Nadu, India","","","","","",NA,""
"631","Fort St David Road (Madras)","11.77","79.77","","Fort St David, Tamil Nadu, India","","","","","",NA,""
"632","Fort St Davids Road","11.77","79.77","","Fort St David, Tamil Nadu, India","","","","","",NA,""
"633","Fort St Francisco","-8.78","13.27","Africa Pilot Volume 2, #2","Luanda, Angola","","","","","",NA,""
"634","Fort St George","13.05","80.28","","Fort St George, Tamil Nadu, India","","","","","",NA,""
"635","Fort St George te Elmina","5.15","-1.317","vocab.pub.getty.edu","Elmina, Ghana, Africa","","","","","",NA,""
"636","Fort Willem Frederik/Rio Demerary","4.7667","-58.1667","Times Atlas of the World","Georgetown (Demerara), Guyana","","","","","",NA,""
"637","Fort William","20.77","87.03","","","","","","","",NA,""
"638","Fort Zeelandia","5.87","-55.23","Times Atlas of the World","Fort Zeelandia, Paramaribo, Suriname","","","","","",NA,""
"639","Fortaventura","28.33","-14","","Fuerteventura","","Canary Islands","North Atlantic","","",NA,""
"640","Fortres Amsterdam, Suriname","5.8","55.15","Algemeen woordenboek der Aardrijkskunde, Vorsterman van Oyen","Nieuw Amsterdam, Surinam","","","","","",NA,""
"641","Fortune Island","14.0666666666667","120.483333333333","China Sea Pilot Vol II, #31","","","Manilla, Phillipines","Pacific","","",NA,""
"642","Fortune Island, off Sumatra","-1.5","99","","","","","","","",NA,""
"643","Fothering Rooke","14",NA,"","","","Bombay","Indian Ocean","","",NA,""
"644","Francisco in Leando Baay","-8.78","13.27","Africa Pilot Volume 2, #2","Luanda, Angola","","","","","",NA,""
"645","Frankfurt-am-Main, Germany","50.12","8.67","","","","","","","",NA,""
"646","Freetown","8.5","-13.28","Times Atlas of the World","Freetown","","","","","",NA,""
"647","Friars Hood","7.42","81.5","West Coast of India Pilot #38","","Fryars Hood","","Indian Ocean","","",NA,""
"648","Frier hood","7.42","81.5","","Friar's Hood, E Sri Lanka","","","","","",NA,""
"649","Froward point","50.33","-3.55","","","","Plymouth","North Atlantic","","",NA,""
"650","Fryars Hood","7.42","81.5","","Friar's Hood, E Sri Lanka","","","","","",NA,""
"651","Fryers Hood","7.42","81.5","","Friar's Hood, E Sri Lanka","","","","","",NA,""
"652","Fuerteventura, Canaries","28.33","-14","","","","","","","",NA,""
"653","Funchal","32.633","-16.883","vocab.pub.getty.edu","","","","","","",NA,""
"654","Funchal Road","32.633","-16.883","vocab.pub.getty.edu","Funchal","Fonciall Road, Finchall Road","Madeira","North Atlantic","","",NA,""
"655","Funchall","32.633","-16.883","vocab.pub.getty.edu","","","","","","",NA,""
"656","Funchall Road","32.633","-16.883","","","","","","","",NA,""
"657","Funchial","32.633","-16.883","vocab.pub.getty.edu","Funchal, Madeira, Portugal","","","","","",NA,""
"658","Fyall","38.5","-28.6","West Coast of Spain and Portugal Pilot #67","Fayal, Azores","","","","","",NA,""
"659","Fyall Bay (Azores)","38.5","-28.6","West Coast of Spain and Portugal Pilot #67","Fayal, Azores","","","","","",NA,""
"660","Gale","6","80.2","","","","","","","",NA,""
"661","Galle","6","80.2","","","","","","","",NA,""
"662","Galleon I, Peru (I. de las Viejas)","-14.27","-76.23","","","","","","","",NA,""
"663","Gallio I, Colombia (Gorgona I)","3.03","-78.33","","","","","","","",NA,""
"664","Gamron","27.18","56.28","","","","","","","",NA,"Gombaron?"
"665","Gasket Rock, HB fake","56","-80","","","","","","","",NA,""
"666","Gekloop de Clip",NA,NA,"","","","Spitzbergen","North Atlantic","","",NA,""
"667","Georges Island","-17.6666666666667","-149.5","","Tahiti","King George's Island, Oetahiti","Society Islands","Pacific","","",NA,""
"668","Gibraltar","36.15","-5.35","Times Atlas of the World","Gibraltar","","","","","",NA,""
"669","Goa Road","15.52","73.93","","","","","","","",NA,""
"670","Goa, India","15.52","73.93","","","","","","","",NA,""
"671","Gods Mercier","63.48","-72.25","Arctic Pilot. Vol III","Islands of God's Mercie","","","North Atlantic","","",NA,""
"672","Goeree","51.83","3.98","Times Atlas of the World","Goedereede","","","","","",NA,""
"673","Golden River, Mozambique (Umtolozi R.)","28.38","32.42","","","","","","","",NA,""
"674","Gombaron (Bandar Abbas, Iran)","27.18","56.28","","","","","","","Gamron?",NA,""
"675","Gomera, Azores","28.13","-17.23","","","","","","","",NA,""
"676","Gran Canaria, Canaries (Las Palmas)","28.1","-15.4","","","","","","","",NA,""
"677","Grand Caicos","21.8333","-71.6667","","","","","","","",NA,""
"678","Grand Canarien","28.1","-15.4","","","","","","","",NA,""
"679","Grand Canary","28.1","-15.4","","","","","","","",NA,""
"680","Grand Ladaroon","21.95","113.72","Pilot #30 China Sea","Ta-Wan Shan (Great Ladrone or Man Shan)","","","","","",NA,""
"681","Grand Ladrone (Guam, Marianas) (Agana)","13.47","144.75","","","","","","","",NA,""
"682","Grand Ladroon","21.95","113.72","Pilot #30 China Sea","Ta-Wan Shan (Great Ladrone or Man Shan)","","","","","",NA,""
"683","Grand Salvage","30.15","-15.87","Africa Pilot Volume 1, #1","Ilha Selvagem Grande","","","","","",NA,""
"684","Grande Lebron","21.95","113.72","","","","","","","",NA,""
"685","Grandmannan Island","44.7","-66.8","RayTech Navigator","Grand Manan Island","","Nova Scotia","North Atlantic","","",NA,""
"686","Gratiosa","39.08","-28.02","Lloyds Maritime Atlas","Graciosa Island (Santa Cruz)","","","","","",NA,""
"687","Great Basses, Sri Lanka","6.18","81.48","","","","","","","",NA,""
"688","Great Comoro","-12.75","43.35","South Indian Ocean Pilot, #39","Ile Grande Comore","","","","","",NA,""
"689","Great Table Island","80.5","21","","","","Spitzbergen","North Atlantic","","",NA,""
"690","Greenwich","51.48","0","","Greenwich, U.K. (London)","","","","","",NA,""
"691","Grise","-7.17","112.07","Algemeen woordenboek der Aardrijkskunde, Vorsterman van Oyen","Sourabaya","","","","","",NA,""
"692","Grissee","-7.17","112.07","Algemeen woordenboek der Aardrijkskunde, Vorsterman van Oyen","Sourabaya","","","","","",NA,""
"693","Grizee","-7.17","112.07","Algemeen woordenboek der Aardrijkskunde, Vorsterman van Oyen","Sourabaya","","","","","",NA,""
"694","Groa","47.65","-3.5","Bay of Biscay Pilot. # 22","Ile de Groix","","","","","",NA,""
"695","Groot Bassan","5.23","3.75","Times Atlas of the World","Grand Bassam","","","","","",NA,""
"696","Grote bogt van t Voorland","78.4","11.2","Times Atlas of the World","Prins Karl Forland","","","","","",NA,""
"697","Guadaloupe","16.23","-61.53","","","","","","","",NA,""
"698","Guadeloupe (Pointe a Pitre)","16.23","-61.53","","","","","","","",NA,""
"699","Guayaquil","-2.2167","-79.9","Times Atlas of the World","Guayaquil, Ecuador","","","","","",NA,""
"700","Guernsey","49.45","-2.5667","","","","","","","",NA,""
"701","Guiana","5.8","-53.97","Times Atlas of the World","Maroni river","","","","","",NA,""
"702","Gulf of Paria","10.4","62","Times Atlas of the World","Gulf of Paria, Venezuela","","","","","",NA,""
"703","Guyana","5.95","-57.1","Times Atlas of the World","Corantyn river","","","","","",NA,""
"704","Hacluits","79.78333","10.8","http://www.traveljournals.net/explore/svalbard/locations/h/1.html","","","Spitsbergen","North Atlantic","","",NA,""
"705","Hacluits Head Land","79.78333","10.8","http://www.traveljournals.net/explore/svalbard/locations/h/1.html","","","Spitsbergen","North Atlantic","","",NA,""
"706","Haclvits Head","79.78333","10.8","http://www.traveljournals.net/explore/svalbard/locations/h/1.html","","","Spitsbergen","North Atlantic","","",NA,""
"707","Hainan","19","109","","Hainan","","Gulf of Tonking","Pacific","","",NA,""
"708","Halifax","44.63","-63.55","","Halifax, Nova Scotia","","","","","",NA,""
"709","Halifax Harbour","44.63","-63.55","","Halifax, Nova Scotia","","","","","",NA,""
"710","Halifax lighthouse","44.63","-63.55","","","","","","","",NA,""
"711","Hampton Road","36.85","-76.32","Lloyds Maritime Atlas","","","","","","",NA,""
"712","Hardlandts Point","51.2","-4.53","Lloyds Maritime Atlas","Hartland Point","","Bristol Channel","Atlantic","","",NA,""
"713","Haroekoe","-3.62","128.42","Indonesia Pilot vol III, No. 35","Haruku, Haruku, Indonesia","","","","","",NA,""
"714","Hartlepool","54.68","-1.22","Times Atlas of the World","Hartlepool","","","","","",NA,""
"715","Havanna","23.13","-82.39","","La Habana","","north coast of Cuba","North Atlantic","","",NA,""
"716","Haynan","19","109","","Hainan","","Gulf of Tonking","Pacific","","",NA,""
"717","Head of Kinsale","51.6","-8.53","","","","","","","",NA,""
"718","Hellevoetsluis","51.82","4.13","Times Atlas of the World","Hellevoetsluis, Netherlands","","","","","",NA,""
"719","Helvoet","51.82","4.13","Times Atlas of the World","Hellevoetsluis, Netherlands","","","","","",NA,""
"720","Helvoetsluis","51.82","4.13","Times Atlas of the World","Hellevoetsluis, Netherlands","","","","","",NA,""
"721","Heneago isl, WI, Tortudas (estimate)","21","-73","","","","","","","",NA,""
"722","Het Kanaal","51","1.55","Times Atlas of the World","Middle of the Dover Strait","","","","","",NA,""
"723","het Vlaak","52.6","5.4","Hydrografische kaart","","","","","","",NA,""
"724","Hiarro","27.8","-17.92","","El Hierro","Ferro","Canary Islands","North Atlantic","","",NA,""
"725","High Lands of Arramoora (Arabian Peninsula)","12.62","44.08","","","","","","","",NA,""
"726","Highland of Cape Mount","6.73","-11.38","African Pilot 1","Cape Mount","","","","","",NA,""
"727","hoek van Bantam","-6","106.15","Times Atlas of the World","Banten","","","","","",NA,""
"728","Hoek van de singel","50.65","-1.58","Times Atlas of the World","Needles","","","","","",NA,""
"729","Hoek van Lassan","-6.7167","111.4333","Schoolatlas der Geheele Aarde, 1927","Lasem, Java, Indonesia","","","","","",NA,""
"730","Hog Island","39.86667","-75.26667","Lloyds Maritime Atlas","Hog Island, PA/USA","","North Atlantic","","","",NA,""
"731","Hole in the Rock","26.3333333333333","-77.5","","","Hole in the Wall","South of Mores Island, Bahamas","North Atlantic","","",NA,""
"732","Hollandia Nova (W Australia)","-21.92","113","","","","","","","",NA,""
"733","Holy Head","53.32","-4.62","Lloyds Maritime Atlas","Holyhead","","","","","",NA,""
"734","Hong Kong (Kowloon)","22.33","114.25","","","","","","","",NA,""
"735","Hoy (Rora) Head, Scotland (Orkneys)","58.87","-3.43","","","","","","","",NA,""
"736","Hoy Head","58.87","-3.43","","","","","","","",NA,""
"737","Hoyhead","58.87","-3.43","","","","","","","",NA,""
"738","iets voorbij Fort Amsterdam","5.8","-55.15","Algemeen woordenboek der Aardrijkskunde, Vorsterman van Oyen","Mouth of Surinam river, Surinam, South America","","","","","",NA,""
"739","Ikanah","9","92.5","","","","Possibly Kakana on Car Nicobar","Indian Ocean","","",NA,""
"740","Ile de Paque","-27.1","-109.3333","Times Atlas of the World","Easter Island, Chile","","","","","",NA,""
"741","Ile Mowee","20.45","-156.15","Times Atlas of the World","Maui, Hawaiian Is, USA","","","","","",NA,""
"742","Insiegoere",NA,NA,"","malebaar","","","","","",NA,""
"743","Ioanna","-12.22","44.42","South Indian Ocean Pilot, #39","","","Madagascar","Indian Ocean","","",NA,""
"744","Isabella Bay","19.95","71","West Indies Pilot","Isabela????","","Puerto Rico????","North Atlantic","","",NA,""
"745","Isla de Onzel","42.3833","-8.93333","Times Atlas of the World","Isla de Ons, Spain","","","","","",NA,""
"746","Isla Margarita","10.9524","-64.0761","Times Atlas of the World","Isla Margarita, Venezuela","","","","","",NA,""
"747","Island Adi, Maalosmadulu Atoll, Maldive","5.5","72.55","","","","","","","",NA,""
"748","Island Bonavista","15.97","-22.83","","Bonavista, Cape Verdes (Punta Tarafo)","","","","","",NA,""
"749","Island Cocas","-12.1","96.867","http://www.cocos-tourism.cc/images/location/lcocos.gif","Cocos (Keeling) Island, Australia","","","","","",NA,""
"750","Island de Fuogo/Fogo","14.92","-24.42","","","","","","","",NA,""
"751","Island Diego Rays","-19.68","63.3","","","","","","","",NA,""
"752","Island Ferro","27.8","-17.92","","","","","","","",NA,""
"753","Island Johanna","-12.22","44.42","South Indian Ocean Pilot, #39","Ile Anjouan","","","","","",NA,""
"754","Island Kellay","6.78","73.02","","Kelai Isl, Maldives","","","","","",NA,""
"755","Island of Barbuda","17.58","-61.77","Lloyds Maritime Atlas","","","","","","",NA,""
"756","Island of Comaro","-12.75","43.35","","","","Madagascar","Indian Ocean","","",NA,""
"757","Island of Corvo","39.7","-31.1","","Corvo, Azores","","","","","",NA,""
"758","Island of Deoura","1.5","85","","?","","unnamed point ","Indian Ocean","","",NA,"No land marked on Atlas though there is an unnamed feature on the Admiralty Chart"
"759","Island of Digo Rays","-19.68","63.3","","","","","","","",NA,""
"760","Island of Engano","-5.66666666666667","102.333333333333","","Engano","","off SW coast of Sumatra","Indian Ocean","","",NA,""
"761","Island of Ferdinando","-3.85","-32.42","","","","","","","",NA,""
"762","Island of Flores","39.45","-31.12","","Flores, Western Azores (Santa Cruz)","","","","","",NA,""
"763","Island of Fogo","14.92","-24.42","Times Atlas of the World","Fogo, Cabo Verde, Africa","","Cape Verde Islands","North Atlantic","","",NA,""
"764","Island of Goree","14.67","17.4","African Pilot 1","Island of Goree","","","","","",NA,""
"765","Island of Gratiosa","39.08","-28.02","Lloyds Maritime Atlas","Graciosa Island (Santa Cruz)","","","","","",NA,""
"766","Island of Luban","14","120","","Lubang","","Manilla, Phillipines","Pacific Ocean","","",NA,""
"767","Island of Madeira","32.63","-16.9","","","","","","","",NA,""
"768","Island of May","15.25","-23.17","","","","","","","",NA,""
"769","Island of Sable","43.95","-59.78","","","","","","","",NA,""
"770","Island of Sables","43.95","-59.78","Times Atlas of the World","Sable Island","","","","","",NA,""
"771","Island of Sall","16.78","-22.9","","Sal, Cape Verde Islands","","","","","",NA,""
"772","Island of Scatary","46.03","-59.72","Times Atlas of the World","","","","","","",NA,""
"773","Island of Scatary (Scatarie)","46.03","-59.72","Times Atlas of the World","","","","","","",NA,""
"774","Island of St Maria","36.93","-25.15","","Vila do Porto, Azores","","","","","",NA,""
"775","Island of Teneriffe","28.28","-16.65","","","","","","","",NA,""
"776","Island off St Augustins Bay","23.5","43.73","","The Times atlas of the world","","","","","",NA,""
"777","Island Palma","28.68","-17.77","","Santa Cruz, Canaries","","","","","",NA,""
"778","Island Salvages","28.1","-15.4","","Salvages isl, Canaries","","","","","",NA,""
"779","Island Tercera","38.72","-27.22","Times Atlas of the World","Terceira - Azores","","","","","",NA,""
"780","Island Trinadada","-20.5","-29.5","","Trinidade, I. da (Trinidad & Martin Vaz)","","","","","",NA,""
"781","Island Trinidada","-20.5","-29.5","","Trinidade, I. da (Trinidad & Martin Vaz)","","","","","",NA,""
"782","Isle Dieu","46.7","-2.33","Bay of Biscay Pilot. # 22","Ile d'Yeu ??","","","","","",NA,""
"783","Isle Graliosa","39","-28","","Graciosa","","Azores","North Atlantic","","",NA,""
"784","Isle of Antigua","17.15","-61.82","","Antigua, Windward Islands, Carib.","","","","","",NA,""
"785","Isle of Bas","48.47","-5.13","Lloyds Maritime Atlas","Ushant","","","","","",NA,""
"786","Isle of Dieu","46.7","-2.33","Bay of Biscay Pilot. # 22","Ile d'Yeu ??","","","","","",NA,""
"787","Isle of Flores","39.45","-31.12","","","","","","","",NA,""
"788","Isle of Luban","13.8333","120.0667","http://www.geocities.com/lubangisland/","Lubang Island","","","","","",NA,""
"789","Isle of May","15.25","-23.17","","","","","","","",NA,""
"790","Isle of May Bay","15.11","-23.21","","","","","","","",NA,""
"791","Isle of Ree","46.35","-1.47","Bay of Biscay Pilot. #22","Ile de Ré","Rhe","France","North Atlantic","","",NA,""
"792","Isle of St John","8.48333333333333",NA,"","","","could be Hiang-shan near Macao but this is 22 degrees north instead of 8.48.","Indian? S. China Sea?","","",NA,""
"793","Isle St Christopher","-16.5","43","","","Christova","North-east of Juan de Nova in the Mozambique Channel","Indian Ocean","","",NA,""
"794","Jamaica (Kingston)","18","-76.83","","","","","","","",NA,""
"795","James Town","-15.933","-5.733","vocab.pub.getty.edu","","","","","","",NA,""
"796","Janoun",NA,"77","","","","","","","",NA,"Estimate"
"797","Japana","-6.5333","110.6667","Times Atlas of the World","Jepara, Java, Indonesia","","","","","",NA,""
"798","Jarvis Harbour","47.65","-56.67","Pilot #50","Great Jervis Harbour, Newfoundland, Canada","","Newfoundland","North Atlantic","","",NA,""
"799","J'at Tair Island, Red Sea","15.75","41.5","","","","","","","",NA,""
"800","Java","-7.17","105.17","","","","","","","",NA,""
"801","Java east end (Tandjang Bantenan)","-9","114.62","","","","","","","",NA,""
"802","Java Head","-6.83","106","","Java W point (estimate)","","","","","",NA,""
"803","Jeeren??","51.55","3.67","Times Atlas of the World","probably Veere","","","","","",NA,""
"804","Joanha","-12.22","44.42","South Indian Ocean Pilot, #39","Ile Anjouan","","","","","",NA,""
"805","Joanna","-12.22","44.42","South Indian Ocean Pilot, #39","Ile Anjouan","","","","","",NA,""
"806","Johanna","-12.22","44.42","South Indian Ocean Pilot, #39","Ile Anjouan","","","","","",NA,""
"807","Jonk Catwick, (tiny island)","10","119","","","","","","","",NA,""
"808","Juan de Nova (isl), off W Madagascar","-17.05","42.75","","","","","","","",NA,""
"809","Juan Fernandez, Chili (Juan Baustista)","-33.75","-80","","","","","","","",NA,""
"810","Kaap (of Punt) Jaijl of Caijl?","8.63333333333333","-78.1166666666667","Pilot #38, West Coast of India","Punnaikayal, Tuticorin, India","","","","","",NA,""
"811","Kaap Apollonia","4.98333333333333","2.55","Times Atlas of the World","Beyin, Ghana","","","","","",NA,""
"812","Kaap Apolonia","4.98333333333333","2.55","Times Atlas of the World","Beyin, Ghana","","","","","",NA,""
"813","Kaap Appolonia","4.9833","2.55","Times Atlas of the World","Beyin, Ghana","","","","","",NA,""
"814","Kaap Cors","5.1","-1.217","Times Atlas of the World","Cape Coast, Ghana, Africa","","St George d'Elmina","North Atlantic","","",NA,""
"815","Kaap de Gaet","36.72","-2.18","Lloyds Maritime Atlas","Cabo de Gata","","","","","",NA,""
"816","Kaap de Goede Hoop","-34.3666666666667","18.4666666666667","Lloyds Maritime Atlas","Cape of Good Hope, South Africa","","","","","",NA,""
"817","Kaap Frio","-22.9833","-42","Times Atlas of the World","Cape Fio, Brazil","","","","","",NA,""
"818","Kaap Grinez","50.8667","1.5833","Times Atlas of the World","Cape Gris-nez, France","","","","","",NA,""
"819","Kaap Groot Mizurado","6.33","-10.83","NMM","Mesurado","","","","","",NA,""
"820","Kaap La Hou","5.15","-5.017","Times Atlas of the World","Grand Lahou, Ivory Coast, Africa","","","North Atlantic","","",NA,""
"821","Kaap Mizurado","6.33","-10.83","NNM","Mesurado","","","","","",NA,""
"822","Kaap Monte","6.33","-10.83","NNM","Mesurado","","","","","",NA,""
"823","Kaap Monte en Kaap Mizurado","6.33","-10.83","NNM","Mesurado","","","","","",NA,""
"824","Kaap/Tafelbaai","-34.3666666666667","18.4666666666667","Lloyds Maritime Atlas","Cape of Good Hope, South Africa","","","","","",NA,""
"825","Kaapsche rede","-34.3666666666667","18.4666666666667","Lloyds Maritime Atlas","Cape of Good Hope, South Africa","","","","","",NA,""
"826","Kaapstad","-34.3666666666667","18.4666666666667","Lloyds Maritime Atlas","Cape of Good Hope, South Africa","","","","","",NA,""
"827","Kasseraijen","21.95","88","Times Atlas of the World","Probably Khajuro, W Bengal, India","","","Indian Ocean","","",NA,""
"828","Kasteel Savens","51.45","3.583","","Near Vlissingen","","","","","",NA,""
"829","Kasteel van Boulijn","38.733","-9.133","","Belem near Lisboa?","","","","","",NA,""
"830","Kedgeree","21.95","88","Times Atlas of the World","Khajuri, W Bengal, India","","Mouth of the Ganges, south of Calcutta","Indian Ocean","","",NA,""
"831","Kelay","6.78","73.02","","Kelai Isl, Maldives","","","","","",NA,""
"832","Kema","1.3833","-125.0999","fat-albert.alexandria.ucsb.edu","Kema, Sulawesi, Indonesia","","","","","",NA,""
"833","Keppel","-51.25","-65","","","","","","","",NA,""
"834","Keppels Island","-51.25","-65","","","","","","","",NA,""
"835","Keppel's Island","-51.25","-65","","","","Entrance to Port Egmont, Falkland Islands","South Atlantic","","",NA,""
"836","Keppler","-51.25","-65","","","","","","","",NA,""
"837","Kerkbaai","-15.9","-5.7","Geschiedenis van de VOC, pag 42","Flagstaff bay, St Helena","","","","","",NA,""
"838","Kijkduin","52.0667","4.2333","Schoolatlas der gehele aarde 1927","Kijkduin","","","","","",NA,""
"839","Kingsale","51.6","-8.53","Lloyds Maritime Atlas","Old Head of Kinsale","","","","","",NA,""
"840","Kingsale, Ireland","51.6","-8.53","Lloyds Maritime Atlas","Old Head of Kinsale","","","","","",NA,""
